	Nome Interno do Anúncio	Canal	Tipo de Acomodação	Porte	Atendecência Reserva (dias)	Data de Criação	Chegada	Data de checkout	Número de Noites	Adults Count	Children Count	Infants Count	Total de Hóspedes	Total da Reserva	Total da reserva por hospede	Total da reserva por noite	Valor por Noite	Ganhos	Ganho por hospede	Ganho por Noite	Comissão Plataforma	Bairro	Status da Reserva	OTA's external code
506	Studio Praia Ipanema	Airbnb	Espaço Inteiro	Pequeno	36	2023-09-13	2023-10-19	2023-10-23	4	3	0	0	3	1173.39	391.13000000000005	293.35	293.35	997.38	332.46	249.34	176.01	Ipanema	Confirmada	HMSPXSTE5T
507	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	10	2023-10-08	2023-10-18	2023-10-22	4	3	0	0	3	1416.48	472.16	354.12	354.12	1204.01	401.34	301.0	212.47	Leblon	Confirmada	HM9CMW8DRS
508	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	14	2023-10-04	2023-10-18	2023-10-22	4	6	0	0	6	2188.4	364.73333333333335	547.1	547.1	1860.14	310.02	465.04	328.26	Ipanema	Confirmada	HM8358NW5F
509	Ipanema Studio 300 m da praia	Airbnb	Espaço Inteiro	Pequeno	43	2023-09-03	2023-10-16	2023-10-24	8	2	0	0	2	1872.48	936.24	234.06	234.06	1591.61	795.8	198.95	280.87	Ipanema	Confirmada	HMRF2ZB5M5
510	Apê Amplo em Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	33	2023-09-12	2023-10-15	2023-10-19	4	8	0	0	8	2287.08	285.885	571.77	571.77	1944.02	243.0	486.0	343.06	Ipanema	Confirmada	HMEAYCM5Y5
511	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	40	2023-09-03	2023-10-13	2023-10-21	8	8	1	2	11	8090.35	735.4863636363636	1011.29	1011.29	6876.8	625.16	859.6	1213.55	Ipanema	Confirmada	HMR82YSKQR
512	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	3	2023-10-09	2023-10-12	2023-10-15	3	1	0	0	1	1568.69	1568.69	522.9	522.9	1333.39	1333.39	444.46	235.3	Leblon	Confirmada	HMZJQHDP9R
513	Ipanema Studio 300 m da praia	Booking	Espaço Inteiro	Pequeno	34	2023-12-21	2024-01-24	2024-01-31	7	2	0	0	2	2511.0	1255.5	358.71	333.0	2184.57	1092.29	0.0	326.43	Ipanema	Confirmada	4008947634
514	Studio Praia Ipanema	Expedia	Espaço Inteiro	Pequeno	98	2023-10-09	2024-01-15	2024-01-17	2	2	0	0	2	375.76	187.88	187.88	187.88	375.76	187.88	0.0	0.0	Ipanema	Confirmada	101734428
515	Ipanema Studio 300 m da praia	Decolar	Espaço Inteiro	Pequeno	32	2023-12-14	2024-01-15	2024-01-22	7	2	0	0	2	2602.01	1301.005	371.72	330.96	2211.71	1105.86	0.0	390.3	Ipanema	Confirmada	24473675202
516	Apartamento Leblon Vista Mar!	Decolar	Espaço Inteiro	Pequeno	16	2023-12-28	2024-01-13	2024-01-16	3	2	0	0	2	1732.0	866.0	577.33	470.63	1472.2	736.1	0.0	259.8	Leblon	Confirmada	24611281502
517	Studio Praia Ipanema	Decolar	Espaço Inteiro	Pequeno	77	2023-10-20	2024-01-05	2024-01-15	10	2	0	0	2	3890.0	1945.0	389.0	355.26	3306.5	1653.25	0.0	583.5	Ipanema	Confirmada	23716648402
518	Studio Praia Ipanema	Expedia	Espaço Inteiro	Pequeno	71	2023-10-19	2023-12-29	2024-01-03	5	3	0	0	3	1148.1	382.7	229.62	229.62	1148.1	382.7	0.0	0.0	Ipanema	Confirmada	107853324
519	Stúdio Praia Leblon	Booking	Espaço Inteiro	Pequeno	26	2023-11-23	2023-12-19	2023-12-25	6	2	0	0	2	4328.0	2164.0	721.33	688.0	3765.36	1882.68	0.0	562.64	Leblon	Confirmada	4143984370
520	Studio Praia Ipanema	Decolar	Espaço Inteiro	Pequeno	14	2023-11-24	2023-12-08	2023-12-12	4	2	0	0	2	1740.01	870.005	435.0	372.4	1479.01	739.5	0.0	261.0	Ipanema	Confirmada	24193314202
521	Ipanema Studio 300 m da praia	Booking	Espaço Inteiro	Pequeno	2	2023-12-05	2023-12-07	2023-12-12	5	1	0	0	1	1305.0	1305.0	261.0	225.0	1135.35	1135.35	0.0	169.65	Ipanema	Confirmada	4287443947
522	Charmoso Apartamento no Leblon	Booking	Espaço Inteiro	Quarto	0	2023-11-30	2023-11-30	2023-12-08	8	1	0	0	1	3064.0	3064.0	383.0	358.0	2665.68	2665.68	0.0	398.32	Leblon	Confirmada	4049142432
523	Stúdio Praia Leblon	Decolar	Espaço Inteiro	Pequeno	11	2023-10-28	2023-11-08	2023-11-12	4	1	0	0	1	2176.01	2176.01	544.0	471.98	1849.61	1849.61	0.0	326.4	Leblon	Confirmada	23817358502
524	Ipanema Amplo Vista Mar!	Booking	Espaço Inteiro	Grande	11	2023-10-24	2023-11-04	2023-11-07	3	6	0	0	6	2411.0	401.8333333333333	803.67	720.33	2097.57	349.6	0.0	313.43	Ipanema	Confirmada	4025680794
525	Charmoso Apartamento no Leblon	Decolar	Espaço Inteiro	Quarto	29	2023-10-05	2023-11-03	2023-11-09	6	1	0	0	1	2882.0	2882.0	480.33	427.56	2449.7	2449.7	0.0	432.3	Leblon	Confirmada	23530860202
526	Apartamento Leblon Vista Mar!	Decolar	Espaço Inteiro	Pequeno	20	2023-10-04	2023-10-24	2023-10-29	5	1	0	0	1	265.01	265.01	53.0	0.86	225.26	225.26	0.0	39.75	Leblon	Confirmada	23513591002
527	Stúdio Praia Leblon	Decolar	Espaço Inteiro	Pequeno	17	2023-10-05	2023-10-22	2023-10-30	8	2	0	0	2	3264.0	1632.0	408.0	366.49	2774.4	1387.2	0.0	489.6	Leblon	Confirmada	23527046602
528	Charmoso Apartamento no Leblon	Decolar	Espaço Inteiro	Quarto	10	2023-10-09	2023-10-19	2023-10-22	3	1	0	0	1	1420.01	1420.01	473.34	387.51	1207.01	1207.01	0.0	213.0	Leblon	Confirmada	23576110602
529	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	21	2023-09-02	2023-09-23	2023-09-30	7	7	0	0	7	0.0	0.0	0.0	0.0	4000.0	571.43	0.0	0.0	hello	Confirmada	
530	Studio Praia Ipanema	Expedia	Espaço Inteiro	Pequeno	3	2023-09-12	2023-09-15	2023-09-18	3	1	0	0	1	563.64	563.64	187.88	187.88	563.64	563.64	0.0	0.0	Ipanema	Confirmada	85720549
