	Nome Interno do Anúncio	Canal	Tipo de Acomodação	Porte	Atendecência Reserva (dias)	Data de Criação	Chegada	Data de checkout	Número de Noites	Adults Count	Children Count	Infants Count	Total de Hóspedes	Total da Reserva	Total da reserva por hospede	Total da reserva por noite	Valor por Noite	Ganhos	Ganho por hospede	Ganho por Noite	Comissão Plataforma	Bairro	Status da Reserva	OTA's external code
437	"Copanema linda kitnet
300 m da praia e Arpoador"	Airbnb	Espaço Inteiro	Pequeno	2	2023-07-09	2023-07-11	2023-07-16	5	2	0	0	2	1094.52	547.26	218.9	218.9	930.34	465.17	186.07	164.18	Ipanema	Confirmada	HMHWYDMJ83
439	Ipanema à 300 m da Praia	Airbnb	Quarto	Quarto	3	2023-07-07	2023-07-10	2023-07-16	6	1	0	0	1	809.49	809.49	134.92	134.92	688.07	688.07	114.68	121.42	Ipanema	Confirmada	HM55A3BRJE
440	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	0	2023-07-10	2023-07-10	2023-07-12	2	2	0	0	2	684.07	342.035	342.04	342.04	581.46	290.73	290.73	102.61	Leblon	Confirmada	HMJBP5NYSJ
441	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	1	2023-07-08	2023-07-09	2023-07-12	3	5	0	0	5	1368.14	273.62800000000004	456.05	456.05	1162.92	232.58	387.64	205.22	Ipanema	Confirmada	HMNW8RYTJQ
442	Ipanema à 300 m da Praia	Airbnb	Quarto	Quarto	1	2023-07-08	2023-07-09	2023-07-12	3	1	0	0	1	445.78	445.78	148.59	148.59	378.91	378.91	126.3	66.87	Ipanema	Confirmada	HM8WWNW382
443	Apê Ipanema à 600m da praia	Airbnb	Espaço Inteiro	Pequeno	0	2023-07-08	2023-07-08	2023-07-15	7	2	0	0	2	1884.06	942.03	269.15	269.15	1601.45	800.72	228.78	282.61	Ipanema	Confirmada	HMT9TSWCDB
444	"Copanema linda kitnet
300 m da praia e Arpoador"	Airbnb	Espaço Inteiro	Pequeno	17	2023-06-21	2023-07-08	2023-07-11	3	2	0	0	2	775.28	387.64	258.43	258.43	658.99	329.5	219.66	116.29	Ipanema	Confirmada	HMFQHMBPA2
445	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	0	2023-07-07	2023-07-07	2023-07-09	2	1	0	0	1	661.26	661.26	330.63	330.63	562.07	562.07	281.04	99.19	Leblon	Confirmada	HM28YQCC9N
446	Apartamento Leblon Vista Mar!	Airbnb	Espaço Inteiro	Pequeno	7	2023-06-29	2023-07-06	2023-07-20	14	1	0	0	1	5078.11	5078.11	362.72	362.72	4316.39	4316.39	308.31	761.72	Leblon	Confirmada	HMFSXRPPAS
447	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	1	2023-07-05	2023-07-06	2023-07-10	4	2	0	0	2	1504.96	752.48	376.24	376.24	1279.22	639.61	319.8	225.74	Leblon	Confirmada	HMBB2PY4QD
